Business Name,Address,Phone,Justdial Phone,URL,Business Category,Business Verified,Rating,Vote
Dr Sri Ram Psychological Center,Jadagam Vari Street Suryarao Pet Vijayawada65 km,09490823660,07383516952,https://www.justdial.com/Vijayawada/Dr-Sri-Ram-Psychological-Center-Opposite-Vijaya-Super-Speciality-Hospital-Suryarao-Pet/0866PX866-X866-140225134652-X2Q6_BZDET?trkid=&term=&ncatid=10941606&area=&search=Best Psychologist Doctors in Vijayawada - Book Appointment Online&mncatname=Psychologist Doctors&abd_btn=&abd_heading=&bd=1&,Psychotherapy For CouplesChild Psychological Diagnosis,,5.0,1500 Rating
Manipal Super Speciality Hospital,NH 5 Tadepalli Vijayawada79 kmWell connected 4 Suggestions,,07383024348,https://www.justdial.com/Vijayawada/Manipal-Super-Speciality-Hospital-Near-Kanakadurga-Varadhi-Saumya-Nagar-Tadepalli/0866PX866-X866-130701163402-Y2X6_BZDET?trkid=&term=&ncatid=10941606&area=&search=Best Psychologist Doctors in Vijayawada - Book Appointment Online&mncatname=Psychologist Doctors&abd_btn=&abd_heading=&bd=1&,Psychotherapy For Couples,Yes,4.6,7087 Rating
Asha Neuromodulation Clinic,Nagarjuna Hospital Ntr Marg Vijayawada51 km,,08050807462,https://www.justdial.com/Vijayawada/Asha-Neuromodulation-Clinic-Near-Mana-Kalyana-Vedika-Endowments-Colony-Chalasani-Nagar-Ntr-Marg/0866PX866-X866-230519064402-R3C3_BZDET?trkid=&term=&ncatid=10941606&area=&search=Best Psychologist Doctors in Vijayawada - Book Appointment Online&mncatname=Psychologist Doctors&abd_btn=&abd_heading=&bd=1&,Psychologist,Yes,4.7,24 Ratings
Dr Indlas Vimhans Hospitals,V V Rao Street Suryarao Pet Vijayawada5 km,,08401325620,https://www.justdial.com/Vijayawada/Dr-Indlas-Vimhans-Hospitals-Near-Devi-Oil-Mill-Suryarao-Pet/0866PX866-X866-190221132145-H3Q3_BZDET?trkid=&term=&ncatid=10941606&area=&search=Best Psychologist Doctors in Vijayawada - Book Appointment Online&mncatname=Psychologist Doctors&abd_btn=&abd_heading=&bd=1&,Psychologist,,4.9,1264 Rating
Anil Neuro  Trauma Centre,Chuttugunta Centre Eluru Road Vijayawada62 km,,07383428517,https://www.justdial.com/Vijayawada/Anil-Neuro-Trauma-Centre-Near-BSNL-Building-Chuttugunta-Signals-Eluru-Road/0866PX866-X866-190204152550-L8W8_BZDET?trkid=&term=&ncatid=10941606&area=&search=Best Psychologist Doctors in Vijayawada - Book Appointment Online&mncatname=Psychologist Doctors&abd_btn=&abd_heading=&bd=1&,Psychotherapy For CouplesChild Psychological Diagnosis,Yes,4.7,1355 Rating
Khushi Mind Care  Psychiatry Hospital and Counseling Centre,Devi Oil Mill Road Suryarao Pet Vijayawada67 km,09490148433,07947107129,https://www.justdial.com/Vijayawada/Khushi-Mind-Care-Psychiatry-Hospital-and-Counseling-Centre-Near-Yalamanchi-Diabetics-Hopsital-Suryarao-Pet/0866PX866-X866-171221001046-C9M9_BZDET?trkid=&term=&ncatid=10941606&area=&search=Best Psychologist Doctors in Vijayawada - Book Appointment Online&mncatname=Psychologist Doctors&abd_btn=&abd_heading=&bd=1&,Psychotherapy For CouplesChild Psychological Diagnosis,,4.8,132 Ratings
Vennela Psychiatric Clinic,Nakkal Road Suryarao Pet Vijayawada69 km,,09731861724,https://www.justdial.com/Vijayawada/Vennela-Psychiatric-Clinic-Opp-Central-Bank-Of-India-Suryarao-Pet/0866PX866-X866-100821202511-U3F4_BZDET?trkid=&term=&ncatid=10941606&area=&search=Best Psychologist Doctors in Vijayawada - Book Appointment Online&mncatname=Psychologist Doctors&abd_btn=&abd_heading=&bd=1&,Psychotherapy For CouplesChild Psychological Diagnosis,,4.3,13 Ratings
Neha Counselling And Psychotherapy Center,Maruthi Nagar Vijayawada56 km,,08401292182,https://www.justdial.com/Vijayawada/Neha-Counselling-And-Psychotherapy-Center-Near-Maruthi-Nagar-Bus-Stop-Beside-Chaitanya-Techno-School-Maruthi-Nagar/0866PX866-X866-141024111534-K2E2_BZDET?trkid=&term=&ncatid=10941606&area=&search=Best Psychologist Doctors in Vijayawada - Book Appointment Online&mncatname=Psychologist Doctors&abd_btn=&abd_heading=&bd=1&,Adult CounselingPsychology Consultation,Yes,4.8,786 Ratings
Pavan Neuropsychiatric Clinic,Prakasam Road Suryarao Pet Vijayawada63 km,,08401310715,https://www.justdial.com/Vijayawada/Pavan-Neuropsychiatric-Clinic-Near-Puspha-Hotel-Center-Beside-Krishna-Gastro-Hospital-Suryarao-Pet/0866PX866-X866-171218200238-H1L8_BZDET?trkid=&term=&ncatid=10941606&area=&search=Best Psychologist Doctors in Vijayawada - Book Appointment Online&mncatname=Psychologist Doctors&abd_btn=&abd_heading=&bd=1&,Child Psychological Diagnosis,,3.5,10 Ratings
Master Homoeocare,NTR Marg Kanuru Vijayawada11 km,,08904949962,https://www.justdial.com/Vijayawada/Master-Homoeocare-Opposite-Pinnamaneni-Teachers-Colony-Kanuru/0866PX866-X866-221109113425-B8L5_BZDET?trkid=&term=&ncatid=10941606&area=&search=Best Psychologist Doctors in Vijayawada - Book Appointment Online&mncatname=Psychologist Doctors&abd_btn=&abd_heading=&bd=1&,Child Psychological Diagnosis,Yes,4.9,35 Ratings
Neha Counselling and Psychotherapy Centre,Door No 2B Maruthi Nagar Vijayawada6 kmSubsidies available 8 Suggestions,09392710280,,https://www.justdial.com/Vijayawada/Neha-Counselling-and-Psychotherapy-Centre-Beside-Sri-Chaitanya-Techo-School-Maruthi-Nagar/0866PX866-X866-160412153128-C9R7_BZDET?trkid=&term=&ncatid=10941606&area=&search=Best Psychologist Doctors in Vijayawada - Book Appointment Online&mncatname=Psychologist Doctors&abd_btn=&abd_heading=&bd=1&,Child Psychological Diagnosis,,4.8,786 Ratings
Azith Memory  Mind Control Centre,Bavajipet 5th Lane Durgapuram Vijayawada68 km,,08401267412,https://www.justdial.com/Vijayawada/Azith-Memory-Mind-Control-Centre-Samba-Murthy-Road-Bose-Bomma-Centre-Durgapuram/0866PX866-X866-110810092106-Y2H5_BZDET?trkid=&term=&ncatid=10941606&area=&search=Best Psychologist Doctors in Vijayawada - Book Appointment Online&mncatname=Psychologist Doctors&abd_btn=&abd_heading=&bd=1&,Child Psychological Diagnosis,Yes,4.6,8 Ratings
Indlas Child Guidance Clinic,Murali Street Moghalraja Puram Vijayawada5 km,,,https://www.justdial.com/Vijayawada/Indlas-Child-Guidance-Clinic-Beside-Narayana-College-Moghalraja-Puram/0866PX866-X866-150303181723-T3I6_BZDET?trkid=&term=&ncatid=10941606&area=&search=Best Psychologist Doctors in Vijayawada - Book Appointment Online&mncatname=Psychologist Doctors&abd_btn=&abd_heading=&bd=1&,Psychologist,,4.7,132 Ratings
Dr Chandrahaas Kudithipudi,Gannavaram Bus Stand Gannavaram Vijayawada14 km,,09980665061,https://www.justdial.com/Vijayawada/Dr-Chandrahaas-Kudithipudi-Opposite-Gannavaram-Bus-Stand-Gannavaram/0866PX866-X866-240501200532-I1H3_BZDET?trkid=&term=&ncatid=10941606&area=&search=Best Psychologist Doctors in Vijayawada - Book Appointment Online&mncatname=Psychologist Doctors&abd_btn=&abd_heading=&bd=1&,Child Psychological Diagnosis,,5.0,7 Ratings
Vaidya Hospitals,Nakkala Road Suryarao Pet Vijayawada7 km,,08401131759,https://www.justdial.com/Vijayawada/Vaidya-Hospitals-Opposite-Balaji-Fast-Foods-Suryarao-Pet/0866PX866-X866-240201121846-P3Q5_BZDET?trkid=&term=&ncatid=10941606&area=&search=Best Psychologist Doctors in Vijayawada - Book Appointment Online&mncatname=Psychologist Doctors&abd_btn=&abd_heading=&bd=1&,Psychotherapy For CouplesChild Psychological DiagnosisAttention Deficit Hyperactivity Disorder (ADHD) Testing,,4.9,104 Ratings
Sri Mind Clinic,Enikepadu Ramavarappadu Vijayawada,09290704444,07947194446,https://www.justdial.com/Vijayawada/Sri-Mind-Clinic-Beside-D-Ramavarappadu/0866PX866-X866-170825111007-D6T4_BZDET?trkid=&term=&ncatid=10941606&area=&search=Best Psychologist Doctors in Vijayawada - Book Appointment Online&mncatname=Psychologist Doctors&abd_btn=&abd_heading=&bd=1&,Dermatological ConsultationFamily Medicine,Yes,4.8,322 Ratings
Lifeline Clinic and Research Institute,Station Road Station Road Jalgaon,,,https://www.justdial.com/Jalgaon/Lifeline-Clinic-and-Research-Institute-Opposite-GS-Ground-Station-Road/9999PX257-X257-130811182151-J2M1_BZDET?trkid=&term=&ncatid=10941606&area=&search=Best Psychologist Doctors in Vijayawada - Book Appointment Online&mncatname=Psychologist Doctors&abd_btn=&abd_heading=&bd=1&,Psychotherapy For Couples,Yes,4.1,338 Ratings
Dr Srikanths Diabetes Specialities Centre,Patamata Vijayawada4 km,,,https://www.justdial.com/Vijayawada/Dr-Srikanths-Diabetes-Specialities-Centre-Opposite-EenaduBenz-Circle-Patamata/0866PX866-X866-110118153627-U3L7_BZDET?trkid=&term=&ncatid=10941606&area=&search=Best Psychologist Doctors in Vijayawada - Book Appointment Online&mncatname=Psychologist Doctors&abd_btn=&abd_heading=&bd=1&,Psychotherapy For Couples,Yes,4.4,103 Ratings
Gottipati Dental Hospital And Implants Centre,Prabhu Nagar Poranki Vijayawada16 km,,07947194348,https://www.justdial.com/Vijayawada/Gottipati-Dental-Hospital-And-Implants-Centre-Beside-SBI-Bank-Poranki/0866PX866-X866-190123180640-Z8I2_BZDET?trkid=&term=&ncatid=10941606&area=&search=Best Psychologist Doctors in Vijayawada - Book Appointment Online&mncatname=Psychologist Doctors&abd_btn=&abd_heading=&bd=1&,Child Psychological Diagnosis,,4.9,633 Ratings
Prasanthi Neuro Mind Care,5 Route Suryarao Pet Vijayawada63 km,,,https://www.justdial.com/Vijayawada/Prasanthi-Neuro-Mind-Care-Near-SBI-Main-Branch-Suryarao-Pet/0866PX866-X866-190110120442-I8W9_BZDET?trkid=&term=&ncatid=10941606&area=&search=Best Psychologist Doctors in Vijayawada - Book Appointment Online&mncatname=Psychologist Doctors&abd_btn=&abd_heading=&bd=1&,Psychotherapy For Couples,,4.2,36 Ratings
Latha Super Speciality Hospital,Prakasam Road Suryarao Pet Vijayawada64 km,,,https://www.justdial.com/Vijayawada/Latha-Super-Speciality-Hospital-Beside-State-Bank-Of-Inida-Pushpa-Hotel-Centre-Beside-SBI-Zonal-Office-Suryarao-Pet/0866PX866-X866-1238366906Q5G1P8-DC_BZDET?trkid=&term=&ncatid=10941606&area=&search=Best Psychologist Doctors in Vijayawada - Book Appointment Online&mncatname=Psychologist Doctors&abd_btn=&abd_heading=&bd=1&,Psychotherapy For Couples,,4.4,2970 Rating
Andhra Hospitals,Prakasham Road Governerpet Vijayawada71 km,,,https://www.justdial.com/Vijayawada/Andhra-Hospitals-Near-IV-Palace-Function-Hall-Governerpet/0866P141STDF001166_BZDET?trkid=&term=&ncatid=10941606&area=&search=Best Psychologist Doctors in Vijayawada - Book Appointment Online&mncatname=Psychologist Doctors&abd_btn=&abd_heading=&bd=1&,Child Psychological Diagnosis,,4.2,1989 Rating
Sentini Hospital,Ring Road Vijayawada39 km,08666677869,,https://www.justdial.com/Vijayawada/Sentini-Hospital-Beside-Vinyaka-Theatre-Ring-Road/0866PX866-X866-140430155631-S9U8_BZDET?trkid=&term=&ncatid=10941606&area=&search=Best Psychologist Doctors in Vijayawada - Book Appointment Online&mncatname=Psychologist Doctors&abd_btn=&abd_heading=&bd=1&,Adult Counseling,,4.5,1562 Rating
Andhra Hospitals,Moulangar Masjid Rd Gollapudi Vijayawada127 km,08662415757,,https://www.justdial.com/Vijayawada/Andhra-Hospitals-Opposite-ZP-High-School-Gollapudi/0866PX866-X866-140203174621-N5T4_BZDET?trkid=&term=&ncatid=10941606&area=&search=Best Psychologist Doctors in Vijayawada - Book Appointment Online&mncatname=Psychologist Doctors&abd_btn=&abd_heading=&bd=1&,Psychology Consultation,,4.9,419 Ratings
Mig Hospital,Durgayya Veedhi Governerpet Vijayawada69 km,,,https://www.justdial.com/Vijayawada/Mig-Hospital-Opposite-Suraksha-Blood-Bank-Governerpet/0866PX866-X866-220118152505-U1L8_BZDET?trkid=&term=&ncatid=10941606&area=&search=Best Psychologist Doctors in Vijayawada - Book Appointment Online&mncatname=Psychologist Doctors&abd_btn=&abd_heading=&bd=1&,Parenting Counselling,,4.9,389 Ratings
Dr Sankar PhD Psychologist,Kaleswarao Road Suryarao Pet Vijayawada67 km,,,https://www.justdial.com/Vijayawada/Dr-Sankar-PhD-Psychologist-Opposite-Street-Central-Bank-Of-India-Suryarao-Pet/0866PX866-X866-221023222902-Q2S8_BZDET?trkid=&term=&ncatid=10941606&area=&search=Best Psychologist Doctors in Vijayawada - Book Appointment Online&mncatname=Psychologist Doctors&abd_btn=&abd_heading=&bd=1&,Child Psychological Diagnosis,,4.5,252 Ratings
Sri Manasa Psychaiatric Nursing Home,Durgaiah Street Suryarao Pet Vijayawada69 km,,,https://www.justdial.com/Vijayawada/Sri-Manasa-Psychaiatric-Nursing-Home-Opposite-Suryaraopeta-Suryarao-Pet/0866P866STD4200723_BZDET?trkid=&term=&ncatid=10941606&area=&search=Best Psychologist Doctors in Vijayawada - Book Appointment Online&mncatname=Psychologist Doctors&abd_btn=&abd_heading=&bd=1&,Psychologist,,4.1,224 Ratings
Dr Indla Rama Subba Reddy Vimhans Hospital,Vardhan Rao Street Suryarao Pet Vijayawada68 km,08662432040,,https://www.justdial.com/Vijayawada/Dr-Indla-Rama-Subba-Reddy-Vimhans-Hospital-Near-Devi-Oil-Mill-Suryarao-Pet/0866P866STD4200730_BZDET?trkid=&term=&ncatid=10941606&area=&search=Best Psychologist Doctors in Vijayawada - Book Appointment Online&mncatname=Psychologist Doctors&abd_btn=&abd_heading=&bd=1&,Psychologist,,4.9,159 Ratings
Darul Qaza,100 Feet Street Auto Nagar Vijayawada25 km,,,https://www.justdial.com/Vijayawada/Darul-Qaza-Beside-UC-Hotel-Auto-Nagar/0866PX866-X866-170412181842-F8C3_BZDET?trkid=&term=&ncatid=10941606&area=&search=Best Psychologist Doctors in Vijayawada - Book Appointment Online&mncatname=Psychologist Doctors&abd_btn=&abd_heading=&bd=1&,Child Psychological Diagnosis,,4.9,147 Ratings
Dr Sri Ram Counselling  Therapy,First Floor Suryarao Pet Vijayawada7 km,,,https://www.justdial.com/Vijayawada/Dr-Sri-Ram-Counselling-Therapy-Opp-Vijaya-Super-Speciality-Hospital-Dornakal-Road-Suryarao-Pet/0866PX866-X866-140827182549-P1T8_BZDET?trkid=&term=&ncatid=10941606&area=&search=Best Psychologist Doctors in Vijayawada - Book Appointment Online&mncatname=Psychologist Doctors&abd_btn=&abd_heading=&bd=1&,Psychologist,,4.9,112 Ratings
Happymind Clinic,Raju Road Bharathi Nagar Vijayawada83 km,,,https://www.justdial.com/Vijayawada/Happymind-Clinic-Near-Singh-Nagar-Flyover-Indira-Nayak-Nagar-Bharathi-Nagar/0866PX866-X866-220310014715-L8C9_BZDET?trkid=&term=&ncatid=10941606&area=&search=Best Psychologist Doctors in Vijayawada - Book Appointment Online&mncatname=Psychologist Doctors&abd_btn=&abd_heading=&bd=1&,Child Psychological Diagnosis,,3.9,106 Ratings
Dr Radhika Reddy V,Reddy Street Governerpet Vijayawada7 km,,,https://www.justdial.com/Vijayawada/Dr-Radhika-Reddy-V-Opposite-Eagle-Bar-Governerpet/0866PX866-X866-120604100146-R3W8_BZDET?trkid=&term=&ncatid=10941606&area=&search=Best Psychologist Doctors in Vijayawada - Book Appointment Online&mncatname=Psychologist Doctors&abd_btn=&abd_heading=&bd=1&,Psychotherapy For CouplesChild Psychological Diagnosis,,4.6,80 Ratings
Dr S Ashok Babus Clinic,Hotel Centre Moghalraja Puram Vijayawada64 km,,,https://www.justdial.com/Vijayawada/Dr-S-Ashok-Babus-Clinic-Opposite-to-City-Neuro-Centre-Moghalraja-Puram/0866PX866-X866-150112170439-J1F1_BZDET?trkid=&term=&ncatid=10941606&area=&search=Best Psychologist Doctors in Vijayawada - Book Appointment Online&mncatname=Psychologist Doctors&abd_btn=&abd_heading=&bd=1&,Child Psychological Diagnosis,,4.8,50 Ratings
Dr Sarath Bodepudi,NH 16 Service Road Benz Circle Vijayawada41 km,,,https://www.justdial.com/Vijayawada/Dr-Sarath-Bodepudi-Beside-Samaram-Gari-Hospital-Benz-Circle/0866PX866-X866-220614220146-J5Y9_BZDET?trkid=&term=&ncatid=10941606&area=&search=Best Psychologist Doctors in Vijayawada - Book Appointment Online&mncatname=Psychologist Doctors&abd_btn=&abd_heading=&bd=1&,Psychologist,,4.8,33 Ratings
Surendra Clinic,Colony Moghalraja Puram Vijayawada46 km,,,https://www.justdial.com/Vijayawada/Surendra-Clinic-Opposite-Lalitha-Jewelry-Showroom-Near-A-Plus-Convention-Moghalraja-Puram/0866PX866-X866-210325202511-D9H2_BZDET?trkid=&term=&ncatid=10941606&area=&search=Best Psychologist Doctors in Vijayawada - Book Appointment Online&mncatname=Psychologist Doctors&abd_btn=&abd_heading=&bd=1&,Psychologist,,4.4,34 Ratings
DrSasi Kirans Pschology Clinic,Naidu Street Suryarao Pet Vijayawada67 km,09848787321,,https://www.justdial.com/Vijayawada/DrSasi-Kirans-Pschology-Clinic-Opposite-Singari-ENT-Hospital-Suryarao-Pet/0866PX866-X866-220611225441-D3F2_BZDET?trkid=&term=&ncatid=10941606&area=&search=Best Psychologist Doctors in Vijayawada - Book Appointment Online&mncatname=Psychologist Doctors&abd_btn=&abd_heading=&bd=1&,Psychotherapy For Couples,,4.9,27 Ratings
Hari Kishore Psychological Counselling  Hypnotherapy Centre,Sarakottu Centre Gollapudi Vijayawada131 km,,,https://www.justdial.com/Vijayawada/Hari-Kishore-Psychological-Counselling-Hypnotherapy-Centre-Opp-Indian-Oil-Petrol-Bunk-Gollapudi/0866PX866-X866-160707175244-R2H2_BZDET?trkid=&term=&ncatid=10941606&area=&search=Best Psychologist Doctors in Vijayawada - Book Appointment Online&mncatname=Psychologist Doctors&abd_btn=&abd_heading=&bd=1&,Psychotherapy For Couples,,4.9,25 Ratings
Dr Jyostna MD Psychiatry,Naidu Street Kasturibaipet Vijayawada52 km,,,https://www.justdial.com/Vijayawada/Dr-Jyostna-MD-Psychiatry-Sridevi-Eye-Hospital-Opposite-Road-Kasturibaipet/0866PX866-X866-190215104918-A2D1_BZDET?trkid=&term=&ncatid=10941606&area=&search=Best Psychologist Doctors in Vijayawada - Book Appointment Online&mncatname=Psychologist Doctors&abd_btn=&abd_heading=&bd=1&,Child Psychological Diagnosis,,4.0,20 Ratings
Call Health Services Pvt Ltd,Vijayawada Ho Vijayawada,09494490136,,https://www.justdial.com/Vijayawada/Call-Health-Services-Pvt-Ltd-Vijayawada-Ho/0866PX866-X866-170914133310-N6K7_BZDET?trkid=&term=&ncatid=10941606&area=&search=Best Psychologist Doctors in Vijayawada - Book Appointment Online&mncatname=Psychologist Doctors&abd_btn=&abd_heading=&bd=1&,Psychologist,,4.2,14 Ratings
Dr Ayodhya Ramaiah K Sri Manasa Psychiatric Nursing Home,Durgaiah Street Suryarao Pet Vijayawada69 km,,,https://www.justdial.com/Vijayawada/Dr-Ayodhya-Ramaiah-K-Sri-Manasa-Psychiatric-Nursing-Home-Suryarao-Pet/0866PX866-X866-150803170509-X8L6_BZDET?trkid=&term=&ncatid=10941606&area=&search=Best Psychologist Doctors in Vijayawada - Book Appointment Online&mncatname=Psychologist Doctors&abd_btn=&abd_heading=&bd=1&,Child Psychological Diagnosis,,4.9,12 Ratings
Spiritual Psychology Reprogramming Centre,Kutumba Rao Street Hanumanpet Vijayawada79 km,,,https://www.justdial.com/Vijayawada/Spiritual-Psychology-Re-programming-Centre-Naer-Kesineni-Travels-Old-Officee-Hanumanpet/0866PX866-X866-170422201014-U2X7_BZDET?trkid=&term=&ncatid=10941606&area=&search=Best Psychologist Doctors in Vijayawada - Book Appointment Online&mncatname=Psychologist Doctors&abd_btn=&abd_heading=&bd=1&,Psychologist,,4.0,13 Ratings
K B Hospitals,Nakkal Road Suryarao Pet Vijayawada69 km,08662444434,,https://www.justdial.com/Vijayawada/K-B-Hospitals-Near-Icici-Suryarao-Pet/0866PX866-X866-110131222513-W9J9_BZDET?trkid=&term=&ncatid=10941606&area=&search=Best Psychologist Doctors in Vijayawada - Book Appointment Online&mncatname=Psychologist Doctors&abd_btn=&abd_heading=&bd=1&,Child Psychological Diagnosis,,4.6,9 Ratings
Muskan Psychiatric Clinic,Panta Kaluva Road Auto Nagar Vijayawada17 km,,,https://www.justdial.com/Vijayawada/Muskan-Psychiatric-Clinic-Beside-Ramayalam-Sanathnagar-Auto-Nagar/0866PX866-X866-220308122027-C3K4_BZDET?trkid=&term=&ncatid=10941606&area=&search=Best Psychologist Doctors in Vijayawada - Book Appointment Online&mncatname=Psychologist Doctors&abd_btn=&abd_heading=&bd=1&,Animal Diseases,,4.7,8 Ratings
Dr K Bhavani Prakash,Alluri Sitaramaraju Road Vijayawada64 km,,,https://www.justdial.com/Vijayawada/Dr-K-Bhavani-Prakash/0866PX866-X866-200118204813-F5L6_BZDET?trkid=&term=&ncatid=10941606&area=&search=Best Psychologist Doctors in Vijayawada - Book Appointment Online&mncatname=Psychologist Doctors&abd_btn=&abd_heading=&bd=1&,Psychotherapy For Couples,,5.0,6 Ratings